,negative,neutral,positive
2015-11-29 20:35:00+00:00,460.0,304.0,358.0
2015-11-29 20:40:00+00:00,481.0,326.0,347.0
2015-11-29 20:45:00+00:00,460.0,295.0,397.0
2015-11-29 20:50:00+00:00,464.0,283.0,430.0
2015-11-29 20:55:00+00:00,441.0,274.0,445.0
2015-11-29 21:00:00+00:00,436.0,277.0,481.0
2015-11-29 21:05:00+00:00,382.0,283.0,426.0
2015-11-29 21:10:00+00:00,424.0,322.0,352.0
2015-11-29 21:15:00+00:00,460.0,296.0,491.0
2015-11-29 21:20:00+00:00,439.0,293.0,395.0
2015-11-29 21:25:00+00:00,434.0,333.0,448.0
2015-11-29 21:30:00+00:00,361.0,328.0,416.0
2015-11-29 21:35:00+00:00,423.0,323.0,759.0
2015-11-29 21:40:00+00:00,481.0,288.0,610.0
2015-11-29 21:45:00+00:00,461.0,301.0,497.0
2015-11-29 21:50:00+00:00,616.0,328.0,539.0
2015-11-29 21:55:00+00:00,402.0,297.0,427.0
2015-11-29 22:00:00+00:00,362.0,239.0,339.0
2015-11-30 00:20:00+00:00,428.0,231.0,386.0
2015-11-30 00:25:00+00:00,456.0,317.0,499.0
2015-11-30 00:30:00+00:00,443.0,292.0,448.0
2015-11-30 00:35:00+00:00,434.0,289.0,480.0
2015-11-30 00:40:00+00:00,413.0,346.0,469.0
2015-11-30 00:45:00+00:00,442.0,323.0,479.0
2015-11-30 00:50:00+00:00,487.0,358.0,467.0
2015-11-30 00:55:00+00:00,478.0,337.0,514.0
2015-11-30 01:00:00+00:00,532.0,359.0,514.0
2015-11-30 01:05:00+00:00,456.0,420.0,488.0
2015-11-30 01:10:00+00:00,464.0,326.0,538.0
2015-11-30 01:15:00+00:00,515.0,350.0,568.0
2015-11-30 01:20:00+00:00,534.0,347.0,530.0
2015-11-30 01:25:00+00:00,492.0,386.0,649.0
2015-11-30 01:30:00+00:00,569.0,514.0,1001.0
2015-11-30 01:35:00+00:00,554.0,496.0,1094.0
2015-11-30 01:40:00+00:00,563.0,616.0,1041.0
2015-11-30 01:45:00+00:00,557.0,399.0,764.0
2015-11-30 01:50:00+00:00,510.0,414.0,707.0
2015-11-30 01:55:00+00:00,491.0,370.0,740.0
2015-11-30 02:00:00+00:00,452.0,365.0,642.0
2015-11-30 02:05:00+00:00,427.0,417.0,790.0
2015-11-30 02:10:00+00:00,492.0,431.0,685.0
2015-11-30 02:15:00+00:00,350.0,352.0,433.0
